text,cs.AI,cs.CL,cs.LG,math.OC,stat.ML,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
Smoothing the Edges: A General Framework for Smooth Optimization in Sparse Regularization using Hadamard Overparametrization,0,0,1,1,1,"optimization and control, computational machine learning",0.7389917373657227,8.0,132.0,140.0,"['math.OC', 'cs.LG']"
Few-Shot Sequence Labeling with Label Dependency Transfer and Pair-wise Embedding,0,1,1,0,0,"artificial intelligence, statistics machine learning, computational machine learning",0.7019937038421631,11.0,123.0,134.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Stochastic Primal Dual Coordinate Method with Non-Uniform Sampling Based on Optimality Violations,0,0,1,1,1,"optimization and control, computational machine learning",0.745281457901001,8.0,126.0,134.0,"['math.OC', 'cs.LG']"
Approximate Heavy Tails in Offline (Multi-Pass) Stochastic Gradient Descent,0,0,1,0,1,"optimization and control, statistics machine learning",0.7014937400817871,8.0,125.0,133.0,"['stat.ML', 'math.OC']"
Self-consistent Reasoning For Solving Math Word Problems,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",0.8265209197998047,12.0,119.0,131.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Tensor methods inside mixed oracle for min-min problems,0,0,0,1,0,"optimization and control, computational machine learning",1.175246238708496,8.0,117.0,125.0,"['math.OC', 'cs.LG']"
Resolving Out-of-Vocabulary Words with Bilingual Embeddings in Machine Translation,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.7985649108886719,16.0,123.0,139.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Intrinsic Sparsity of Kantorovich Solutions,0,0,0,1,0,optimization and control,0.6562840938568115,4.0,118.0,122.0,['math.OC']
Capsule GAN for Prostate MRI Super-Resolution,0,0,1,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.9028856754302979,16.0,117.0,133.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Can Transformer be Too Compositional? Analysing Idiom Processing in Neural Machine Translation,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.7606582641601562,16.0,126.0,142.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Act-Then-Measure: Reinforcement Learning for Partially Observable Environments with Active Measuring,1,0,1,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",4.467973232269287,16.0,126.0,142.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Sparse Cholesky covariance parametrization for recovering latent structure in ordered data,0,0,1,0,1,"optimization and control, computational machine learning",0.6140952110290527,8.0,122.0,130.0,"['math.OC', 'cs.LG']"
Knowledge Graph Embedding with Atrous Convolution and Residual Learning,1,1,1,0,0,"artificial intelligence, computational machine learning",0.7222974300384521,7.0,121.0,128.0,"['cs.AI', 'cs.LG']"
Efficient Training of Language Models to Fill in the Middle,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",0.8149755001068115,12.0,118.0,130.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Scalable Classifier-Agnostic Channel Selection for Multivariate Time Series Classification,0,0,1,0,0,"optimization and control, computational machine learning",1.4545271396636963,8.0,123.0,131.0,"['math.OC', 'cs.LG']"
Expressing Relational and Temporal Knowledge in Visual Probabilistic Networks,1,0,0,0,0,"artificial intelligence, computation and language, computational machine learning",0.6573224067687988,12.0,121.0,133.0,"['cs.AI', 'cs.CL', 'cs.LG']"
One Method for Minimization a Convex Lipschitz-Continuous Function of 2 Variables on a Fixed Square,0,0,0,1,0,"optimization and control, computational machine learning",0.6908271312713623,8.0,130.0,138.0,"['math.OC', 'cs.LG']"
Distributed event-triggered aggregative optimization with applications to price-based energy management,0,0,0,1,0,"optimization and control, computational machine learning",0.7591559886932373,8.0,122.0,130.0,"['math.OC', 'cs.LG']"
Fantastic 4 system for NIST 2015 Language Recognition Evaluation,0,1,0,0,0,computation and language,0.714885950088501,5.0,121.0,126.0,['cs.CL']
Intelligent Hybrid Man-Machine Translation Quality Estimation,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",0.761777400970459,12.0,117.0,129.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Active Tuning,0,0,1,0,0,"artificial intelligence, computational machine learning",0.8869483470916748,7.0,111.0,118.0,"['cs.AI', 'cs.LG']"
Do RNNs learn human-like abstract word order preferences?,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.9833664894104004,16.0,120.0,136.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Product age based demand forecast model for fashion retail,0,0,1,0,1,"statistics machine learning, optimization and control",0.6973373889923096,8.0,117.0,125.0,"['stat.ML', 'math.OC']"
Neural Spline Flows,0,0,1,0,1,"artificial intelligence, statistics machine learning, computational machine learning",0.9401957988739014,11.0,113.0,124.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Copyright Violations and Large Language Models,1,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",2.2542507648468018,12.0,115.0,127.0,"['cs.AI', 'cs.CL', 'stat.ML']"
MEE: A Novel Multilingual Event Extraction Dataset,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",0.6767199039459229,12.0,118.0,130.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Contextual Bandit Algorithms with Supervised Learning Guarantees,0,0,1,0,0,"artificial intelligence, statistics machine learning, computational machine learning",0.6311511993408203,11.0,119.0,130.0,"['cs.AI', 'stat.ML', 'cs.LG']"
On the Optimal Policies for Visibility-Based Target Tracking,0,0,0,1,0,"optimization and control, computational machine learning",0.6475558280944824,8.0,117.0,125.0,"['math.OC', 'cs.LG']"
Multi-layered Discriminative Restricted Boltzmann Machine with Untrained Probabilistic Layer,1,0,1,0,1,"artificial intelligence, computational machine learning",0.6636841297149658,7.0,126.0,133.0,"['cs.AI', 'cs.LG']"
Extend Wave Function Collapse to Large-Scale Content Generation,1,0,0,0,0,"artificial intelligence, computational machine learning",0.7417411804199219,7.0,118.0,125.0,"['cs.AI', 'cs.LG']"
HC-Ref: Hierarchical Constrained Refinement for Robust Adversarial Training of GNNs,0,0,1,0,0,"artificial intelligence, computational machine learning",0.5652577877044678,7.0,128.0,135.0,"['cs.AI', 'cs.LG']"
Sample Efficient Deep Reinforcement Learning via Local Planning,1,0,1,0,0,"artificial intelligence, computational machine learning",0.6575446128845215,7.0,117.0,124.0,"['cs.AI', 'cs.LG']"
Open-World Multi-Task Control Through Goal-Aware Representation Learning and Adaptive Horizon Prediction,1,0,0,0,0,"artificial intelligence, computational machine learning",0.5719945430755615,7.0,125.0,132.0,"['cs.AI', 'cs.LG']"
Optimal strategies in repeated games with incomplete information: the dependent case,0,0,0,1,0,optimization and control,0.5984177589416504,4.0,120.0,124.0,['math.OC']
IDS at SemEval-2020 Task 10: Does Pre-trained Language Model Know What to Emphasize?,0,1,0,0,0,"computation and language, statistics machine learning, artificial intelligence",0.7479391098022461,12.0,131.0,143.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Efficient Reinforcement Learning Using Recursive Least-Squares Methods,1,0,1,0,0,"artificial intelligence, statistics machine learning, computational machine learning",0.797945499420166,11.0,118.0,129.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Label Assisted Autoencoder for Anomaly Detection in Power Generation Plants,1,0,1,0,0,"artificial intelligence, statistics machine learning, computational machine learning",0.6570000648498535,11.0,120.0,131.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Deductive Association Networks,1,0,0,0,0,"artificial intelligence, computation and language, statistics machine learning",0.743382453918457,12.0,112.0,124.0,"['cs.AI', 'cs.CL', 'stat.ML']"
An Optimal Transport View on Generalization,0,0,1,0,1,"optimization and control, computational machine learning",0.7025408744812012,8.0,115.0,123.0,"['math.OC', 'cs.LG']"
Detection of Anomalies in Multivariate Time Series Using Ensemble Techniques,0,0,1,0,1,"statistics machine learning, computational machine learning",1.0848171710968018,8.0,121.0,129.0,"['stat.ML', 'cs.LG']"
Blackwell Online Learning for Markov Decision Processes,0,0,1,0,0,"optimization and control, computational machine learning",1.0677518844604492,8.0,117.0,125.0,"['math.OC', 'cs.LG']"
Scalable Neural-Probabilistic Answer Set Programming,1,0,0,0,0,"artificial intelligence, computational machine learning",0.6306138038635254,7.0,118.0,125.0,"['cs.AI', 'cs.LG']"
Speed limits in traffic emission models using multi-objective optimization,0,0,0,1,0,optimization and control,0.4990851879119873,4.0,119.0,123.0,['math.OC']
Be Greedy in Multi-Armed Bandits,0,0,1,0,0,"optimization and control, statistics machine learning",0.618044376373291,8.0,117.0,125.0,"['stat.ML', 'math.OC']"
WordRank: Learning Word Embeddings via Robust Ranking,0,1,1,0,1,"artificial intelligence, statistics machine learning, computational machine learning",0.7956786155700684,11.0,118.0,129.0,"['cs.AI', 'stat.ML', 'cs.LG']"
A Survey on GANs for Anomaly Detection,0,0,1,0,1,"artificial intelligence, statistics machine learning, computational machine learning",1.065744161605835,11.0,117.0,128.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Abnormal Local Clustering in Federated Learning,1,0,1,0,0,"artificial intelligence, computational machine learning",0.5572657585144043,7.0,117.0,124.0,"['cs.AI', 'cs.LG']"
On Sparsifying Encoder Outputs in Sequence-to-Sequence Models,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",0.5823228359222412,12.0,120.0,132.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Proof nets for display logic,0,1,0,0,0,computation and language,0.7904655933380127,5.0,113.0,118.0,['cs.CL']
A Partial Regularization Method for Network Compression,0,0,1,0,1,"optimization and control, computational machine learning",0.8117489814758301,8.0,116.0,124.0,"['math.OC', 'cs.LG']"
Reinforcement Learning in R,0,0,1,0,1,"artificial intelligence, statistics machine learning",0.6083979606628418,7.0,113.0,120.0,"['cs.AI', 'stat.ML']"
On the stability of an adaptive learning dynamics in traffic games,0,0,0,1,0,optimization and control,0.8163220882415771,4.0,119.0,123.0,['math.OC']
Generative Modeling with Flow-Guided Density Ratio Learning,1,0,1,0,0,"artificial intelligence, statistics machine learning, computational machine learning",0.7519619464874268,11.0,119.0,130.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Categorical Reparameterization with Gumbel-Softmax,0,0,1,0,1,"artificial intelligence, statistics machine learning, computational machine learning",0.7780117988586426,11.0,120.0,131.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Learning to Answer Multilingual and Code-Mixed Questions,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",0.8850846290588379,12.0,118.0,130.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Visualizing the Consequences of Evidence in Bayesian Networks,1,0,0,0,0,"artificial intelligence, statistics machine learning, computational machine learning",0.8675520420074463,11.0,118.0,129.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Large Scale Clustering with Variational EM for Gaussian Mixture Models,0,0,1,0,1,"optimization and control, computational machine learning",0.7414829730987549,8.0,121.0,129.0,"['math.OC', 'cs.LG']"
Multi-Task Learning for Mental Health using Social Media Text,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",1.0212597846984863,16.0,119.0,135.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
A Cost-Sensitive Deep Belief Network for Imbalanced Classification,0,0,1,0,1,"artificial intelligence, statistics machine learning, computational machine learning",0.6811671257019043,11.0,120.0,131.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Supertagging Combinatory Categorial Grammar with Attentive Graph Convolutional Networks,0,1,0,0,0,"artificial intelligence, computation and language, computational machine learning",0.7849240303039551,12.0,128.0,140.0,"['cs.AI', 'cs.CL', 'cs.LG']"
Instances and Labels: Hierarchy-aware Joint Supervised Contrastive Learning for Hierarchical Multi-Label Text Classification,1,1,1,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.7550206184387207,16.0,129.0,145.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
The Pareto-Optimal Temporal Aggregation of Energy System Models,0,0,0,1,0,optimization and control,0.7581450939178467,4.0,120.0,124.0,['math.OC']
Toward a Standardized and More Accurate Indonesian Part-of-Speech Tagging,0,1,0,0,0,"computational machine learning, statistics machine learning",0.9119460582733154,9.0,123.0,132.0,"['stat.ML', 'cs.LG']"
The reinforcement learning-based multi-agent cooperative approach for the adaptive speed regulation on a metallurgical pickling line,0,0,1,0,1,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.871891975402832,16.0,128.0,144.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Joint mean and covariance estimation with unreplicated matrix-variate data,0,0,0,0,1,"statistics machine learning, optimization and control",0.515772819519043,8.0,121.0,129.0,"['stat.ML', 'math.OC']"
Multi-Objective Optimization Using the R2 Utility,0,0,1,1,1,optimization and control,0.6416015625,4.0,117.0,121.0,['math.OC']
Let-Mi: An Arabic Levantine Twitter Dataset for Misogynistic Language,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",5.59636926651001,12.0,125.0,137.0,"['cs.AI', 'cs.CL', 'stat.ML']"
"Grid-side Flexibility of Power Systems in Integrating Large-scale Renewable Generations: A Critical Review on Concepts, Formulations and Solution Approaches",0,0,0,1,0,"computation and language, statistics machine learning, optimization and control",0.8834636211395264,13.0,136.0,149.0,"['cs.CL', 'stat.ML', 'math.OC']"
Guideline Learning for In-context Information Extraction,0,1,1,0,0,"artificial intelligence, statistics machine learning",0.6177926063537598,7.0,116.0,123.0,"['cs.AI', 'stat.ML']"
Physics-informed neural networks for non-Newtonian fluid thermo-mechanical problems: an application to rubber calendering process,0,0,1,0,0,computational machine learning,0.767967700958252,5.0,131.0,136.0,['cs.LG']
ChartQA: A Benchmark for Question Answering about Charts with Visual and Logical Reasoning,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",1.0352098941802979,12.0,125.0,137.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Solving Continual Combinatorial Selection via Deep Reinforcement Learning,1,0,1,0,1,"artificial intelligence, computational machine learning",0.8214836120605469,7.0,121.0,128.0,"['cs.AI', 'cs.LG']"
A Logic and Adaptive Approach for Efficient Diagnosis Systems using CBR,1,0,0,0,0,"artificial intelligence, computational machine learning",0.777226448059082,7.0,120.0,127.0,"['cs.AI', 'cs.LG']"
A Multi-Modal Context Reasoning Approach for Conditional Inference on Joint Textual and Visual Clues,0,1,0,0,0,"artificial intelligence, computation and language, computational machine learning",0.7163434028625488,12.0,128.0,140.0,"['cs.AI', 'cs.CL', 'cs.LG']"
SCDV : Sparse Composite Document Vectors using soft clustering over distributional representations,0,1,0,0,0,"artificial intelligence, computational machine learning",0.5200386047363281,7.0,124.0,131.0,"['cs.AI', 'cs.LG']"
Noisy Training Improves E2E ASR for the Edge,0,1,0,0,0,"artificial intelligence, statistics machine learning, computational machine learning",0.7166948318481445,11.0,121.0,132.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Fluid Transformers and Creative Analogies: Exploring Large Language Models' Capacity for Augmenting Cross-Domain Analogical Creativity,1,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.8114781379699707,16.0,131.0,147.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
NAIST-SIC-Aligned: Automatically-Aligned English-Japanese Simultaneous Interpretation Corpus,0,1,0,0,0,"artificial intelligence, computation and language, computational machine learning",0.748103141784668,12.0,126.0,138.0,"['cs.AI', 'cs.CL', 'cs.LG']"
Heuristic Search for Multi-Objective Probabilistic Planning,1,0,0,0,0,"artificial intelligence, optimization and control, computational machine learning",0.7601556777954102,11.0,119.0,130.0,"['cs.AI', 'math.OC', 'cs.LG']"
Diffusing Graph Attention,0,0,1,0,0,"artificial intelligence, computational machine learning",0.6257374286651611,7.0,112.0,119.0,"['cs.AI', 'cs.LG']"
Oracle Complexity of Second-Order Methods for Smooth Convex Optimization,0,0,0,1,0,optimization and control,0.5393679141998291,4.0,120.0,124.0,['math.OC']
Evidence with Uncertain Likelihoods,1,0,0,0,0,statistics machine learning,2.1461610794067383,4.0,115.0,119.0,['stat.ML']
Human AI interaction loop training: New approach for interactive reinforcement learning,1,0,1,0,1,"artificial intelligence, computation and language, computational machine learning",0.7313075065612793,12.0,120.0,132.0,"['cs.AI', 'cs.CL', 'cs.LG']"
Clickbait Headline Detection in Indonesian News Sites using Multilingual Bidirectional Encoder Representations from Transformers (M-BERT),0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.7848374843597412,16.0,132.0,148.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Provably Efficient Reward-Agnostic Navigation with Linear Value Iteration,0,0,1,0,1,"artificial intelligence, computation and language, optimization and control",0.768092155456543,12.0,121.0,133.0,"['cs.AI', 'cs.CL', 'math.OC']"
Active Learning-Based Optimization of Scientific Experimental Design,1,0,1,0,0,"optimization and control, computational machine learning",0.709752082824707,8.0,116.0,124.0,"['math.OC', 'cs.LG']"
Bootstrapped Q-learning with Context Relevant Observation Pruning to Generalize in Text-based Games,0,1,1,0,1,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.8416173458099365,16.0,126.0,142.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
A Local Characterization of Lyapunov Functions and Robust Stability of Perturbed Systems on Riemannian Manifolds,0,0,0,1,0,optimization and control,0.6164636611938477,4.0,132.0,136.0,['math.OC']
Manifold Coordinates with Physical Meaning,0,0,1,0,1,optimization and control,0.6416492462158203,4.0,114.0,118.0,['math.OC']
Beyond modeling: NLP Pipeline for efficient environmental policy analysis,0,1,1,0,0,"artificial intelligence, computation and language, computational machine learning",0.6923887729644775,12.0,118.0,130.0,"['cs.AI', 'cs.CL', 'cs.LG']"
Text is NOT Enough: Integrating Visual Impressions into Open-domain Dialogue Generation,0,1,0,0,0,"artificial intelligence, computation and language, computational machine learning",0.6705098152160645,12.0,123.0,135.0,"['cs.AI', 'cs.CL', 'cs.LG']"
Phase Conductor on Multi-layered Attentions for Machine Comprehension,0,1,0,0,0,"artificial intelligence, computational machine learning",0.7180695533752441,7.0,122.0,129.0,"['cs.AI', 'cs.LG']"
Knowledge Base Completion for Constructing Problem-Oriented Medical Records,0,1,1,0,1,"artificial intelligence, statistics machine learning, computational machine learning",0.9710743427276611,11.0,119.0,130.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Automatic Document Selection for Efficient Encoder Pretraining,0,1,0,0,0,"artificial intelligence, computational machine learning",0.7678263187408447,7.0,116.0,123.0,"['cs.AI', 'cs.LG']"
Adaptive Stress Testing: Finding Likely Failure Events with Reinforcement Learning,1,0,0,0,0,"artificial intelligence, computational machine learning, statistics machine learning",0.7550570964813232,11.0,121.0,132.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Functional requirements to mitigate the Risk of Harm to Patients from Artificial Intelligence in Healthcare,1,0,0,0,0,"artificial intelligence, computational machine learning",0.9766077995300293,7.0,123.0,130.0,"['cs.AI', 'cs.LG']"
Convergence Analysis of Quantized Primal-dual Algorithm in Network Utility Maximization Problems,0,0,0,1,0,optimization and control,0.7455997467041016,4.0,125.0,129.0,['math.OC']
Generative-Discriminative Variational Model for Visual Recognition,0,0,1,0,0,"artificial intelligence, computational machine learning",0.6969702243804932,7.0,120.0,127.0,"['cs.AI', 'cs.LG']"
The Effect of Downstream Classification Tasks for Evaluating Sentence Embeddings,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",1.0171592235565186,12.0,121.0,133.0,"['cs.AI', 'cs.CL', 'stat.ML']"
BERT: A Review of Applications in Natural Language Processing and Understanding,1,1,1,0,0,"artificial intelligence, computation and language, computational machine learning",0.7475121021270752,12.0,121.0,133.0,"['cs.AI', 'cs.CL', 'cs.LG']"
Linear lexicographic optimization and preferential bidding system,0,0,0,1,0,optimization and control,0.4762086868286133,4.0,117.0,121.0,['math.OC']
Learning When Training Data are Costly: The Effect of Class Distribution on Tree Induction,1,0,0,0,0,"artificial intelligence, statistics machine learning, computational machine learning",0.6882686614990234,11.0,125.0,136.0,"['cs.AI', 'stat.ML', 'cs.LG']"
LM-Debugger: An Interactive Tool for Inspection and Intervention in Transformer-Based Language Models,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",4.275310277938843,12.0,125.0,137.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Soft Merging of Experts with Adaptive Routing,0,0,1,0,0,"artificial intelligence, computational machine learning, optimization and control",0.7942924499511719,11.0,116.0,127.0,"['cs.AI', 'math.OC', 'cs.LG']"
Multi-Target XGBoostLSS Regression,0,0,1,0,0,"statistics machine learning, computational machine learning",0.6796431541442871,8.0,117.0,125.0,"['stat.ML', 'cs.LG']"
Reliable and Interpretable Drift Detection in Streams of Short Texts,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.9352293014526367,16.0,121.0,137.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Modelling Patient Trajectories Using Multimodal Information,0,0,1,0,0,"artificial intelligence, computational machine learning",0.6253962516784668,7.0,119.0,126.0,"['cs.AI', 'cs.LG']"
An initial alignment between neural network and target is needed for gradient descent to learn,0,0,1,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.7270941734313965,16.0,123.0,139.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Stance detection in online discussions,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",0.7109637260437012,12.0,114.0,126.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Design quality functionals for control systems with exponential activation function,0,0,0,1,0,optimization and control,0.8436455726623535,4.0,119.0,123.0,['math.OC']
Single-level Adversarial Data Synthesis based on Neural Tangent Kernels,0,0,1,0,0,"artificial intelligence, computational machine learning",0.7324075698852539,7.0,123.0,130.0,"['cs.AI', 'cs.LG']"
A geometric integration approach to smooth optimisation: Foundations of the discrete gradient method,0,0,0,1,0,optimization and control,0.6277215480804443,4.0,122.0,126.0,['math.OC']
Strong duality for a problem of linear copositive programming,0,0,0,1,0,optimization and control,0.6950948238372803,4.0,120.0,124.0,['math.OC']
Deep Reinforcement Learning with Model Learning and Monte Carlo Tree Search in Minecraft,1,0,1,0,1,"artificial intelligence, computation and language, computational machine learning",0.6484606266021729,12.0,122.0,134.0,"['cs.AI', 'cs.CL', 'cs.LG']"
Non-convex Fraction Function Penalty: Sparse Signals Recovered from Quasi-linear Systems,0,0,0,1,0,"optimization and control, computational machine learning",0.5368354320526123,8.0,126.0,134.0,"['math.OC', 'cs.LG']"
Fair Classification and Social Welfare,1,0,1,0,1,"artificial intelligence, statistics machine learning",0.8783900737762451,7.0,113.0,120.0,"['cs.AI', 'stat.ML']"
Enhanced Global Optimization with Parallel Global and Local Structures,0,0,0,1,0,"optimization and control, computational machine learning",0.6399550437927246,8.0,117.0,125.0,"['math.OC', 'cs.LG']"
LearningWord Embeddings for Low-resource Languages by PU Learning,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.715165376663208,16.0,119.0,135.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Stochastic Newton and Cubic Newton Methods with Simple Local Linear-Quadratic Rates,0,0,1,1,1,"optimization and control, computational machine learning",0.6928999423980713,8.0,124.0,132.0,"['math.OC', 'cs.LG']"
Tight Linear Convergence Rate Bounds for Douglas-Rachford Splitting and ADMM,0,0,0,1,0,optimization and control,0.5892441272735596,4.0,124.0,128.0,['math.OC']
Risk-Sensitive Deep RL: Variance-Constrained Actor-Critic Provably Finds Globally Optimal Policy,0,0,1,1,1,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",1.0052530765533447,16.0,128.0,144.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Imaginations of WALL-E : Reconstructing Experiences with an Imagination-Inspired Module for Advanced AI Systems,1,1,0,0,0,"artificial intelligence, computational machine learning",0.6994640827178955,7.0,129.0,136.0,"['cs.AI', 'cs.LG']"
HAIDA: Biometric technological therapy tools for neurorehabilitation of Cognitive Impairment,0,0,1,0,0,"artificial intelligence, computational machine learning",0.7113137245178223,7.0,126.0,133.0,"['cs.AI', 'cs.LG']"
Some Strategies to Capture Karaka-Yogyata with Special Reference to apadana,0,1,0,0,0,computation and language,0.5890154838562012,5.0,124.0,129.0,['cs.CL']
Aspect and Opinion Term Extraction for Hotel Reviews using Transfer Learning and Auxiliary Labels,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.7469091415405273,16.0,122.0,138.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Two-level Graph Neural Network,1,0,1,0,0,"artificial intelligence, computational machine learning",0.7693653106689453,7.0,113.0,120.0,"['cs.AI', 'cs.LG']"
Multi-input control-affine systems static feedback equivalent to a triangular form and their flatness,0,0,0,1,0,optimization and control,0.6668045520782471,4.0,125.0,129.0,['math.OC']
Learning 3D Representations of Molecular Chirality with Invariance to Bond Rotations,0,0,1,0,0,"artificial intelligence, computational machine learning",0.6040096282958984,7.0,125.0,132.0,"['cs.AI', 'cs.LG']"
Stochastic Batch Acquisition: A Simple Baseline for Deep Active Learning,0,0,1,0,1,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",1.3489348888397217,16.0,121.0,137.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Uncertainty Quantification of Surrogate Explanations: an Ordinal Consensus Approach,1,0,1,0,1,"statistics machine learning, computational machine learning",0.5214812755584717,8.0,124.0,132.0,"['stat.ML', 'cs.LG']"
Stepwise Extractive Summarization and Planning with Structured Transformers,0,1,0,0,0,"artificial intelligence, computation and language, computational machine learning",0.9162263870239258,12.0,120.0,132.0,"['cs.AI', 'cs.CL', 'cs.LG']"
Optimal Cooperative Inference,0,0,1,0,0,"optimization and control, computational machine learning",0.5339570045471191,8.0,112.0,120.0,"['math.OC', 'cs.LG']"
Early Discovery of Emerging Entities in Microblogs,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",0.6308677196502686,12.0,116.0,128.0,"['cs.AI', 'cs.CL', 'stat.ML']"
The Service Academy Brigade Reassignment Problem,0,0,0,1,0,optimization and control,0.47299766540527344,4.0,115.0,119.0,['math.OC']
Imitating Graph-Based Planning with Goal-Conditioned Policies,1,0,1,0,0,"artificial intelligence, computation and language, computational machine learning",0.8011741638183594,12.0,120.0,132.0,"['cs.AI', 'cs.CL', 'cs.LG']"
Learning with Noise: Enhance Distantly Supervised Relation Extraction with Dynamic Transition Matrix,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.728801965713501,16.0,124.0,140.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Scalable Spectral Clustering with Group Fairness Constraints,0,0,1,0,1,"optimization and control, computational machine learning",0.6052815914154053,8.0,119.0,127.0,"['math.OC', 'cs.LG']"
Mondrian Forests for Large-Scale Regression when Uncertainty Matters,0,0,1,0,1,"computational machine learning, statistics machine learning",0.7950234413146973,9.0,121.0,130.0,"['stat.ML', 'cs.LG']"
AdaBoost-assisted Extreme Learning Machine for Efficient Online Sequential Classification,0,0,1,0,1,"artificial intelligence, computational machine learning, statistics machine learning",0.6749684810638428,11.0,119.0,130.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Statistical inference on errorfully observed graphs,0,0,0,0,1,statistics machine learning,0.7272946834564209,4.0,115.0,119.0,['stat.ML']
Grey Wolf Optimizer and Whale Optimization Algorithm for Stochastic Inventory Management of Reusable Products in a two-level Supply Chain,0,0,0,1,0,optimization and control,0.7169504165649414,4.0,131.0,135.0,['math.OC']
